service_a,service_b,cooc_frequency,jaccard_similarity
Connect,Transcribe,2,0.1429
Firehose,Transcribe,2,0.0541
DirectConnect,DynamoDB,2,0.0165
ELB,ShieldAdvanced,2,0.0606
Comprehend,Translate,2,0.1429
CloudFormation,Glue,2,0.04
CodeBuild,S3,2,0.0086
DynamoDB,EBS,2,0.0168
ELB,Kinesis,2,0.0299
ELB,VPCPeering,2,0.0606
EBS,EKS,2,0.0328
Aurora,QuickSight,2,0.04
ControlTower,EKS,2,0.0339
ControlTower,TransitGateway,2,0.25
Lambda,MediaConvert,2,0.0096
EC2,GuardDuty,2,0.0146
GuardDuty,SQS,2,0.0274
CloudTrail,SNS,2,0.0385
CloudTrail,SQS,2,0.0274
DynamoDB,IAM,2,0.0163
ApiGateway,KMS,2,0.02
ECS,WAF,1,0.0167
Firehose,Route53,1,0.0208
ALB,RAM,1,0.0312
EKS,RAM,1,0.0179
RAM,RDS,1,0.0145
RAM,SQS,1,0.0149
Aurora,CloudFormation,1,0.0185
Aurora,IAM,1,0.0213
CloudTrail,CloudWatch,1,0.0222
Aurora,WAF,1,0.0196
CloudFront,EFS,1,0.0217
EFS,Route53,1,0.0417
EFS,VPN,1,0.0909
EFS,WAF,1,0.05
ElastiCache,VPN,1,0.0278
OpenSearch,VPN,1,0.0263
OpenSearch,WAF,1,0.0213
RedShift,WAF,1,0.0233
Route53,VPN,1,0.0417
